Time [s],P [Pa]
0.02475,-0.081709
0.024833,-0.071583
0.024917,0.037822
0.025,0.0896
0.025083,0.01024
0.025167,-0.089541
0.02525,-0.067233
0.025333,0.046381
0.025417,0.088123
0.0255,-0.0016278
0.025583,-0.096373
0.025667,-0.060144
0.02575,0.055675
0.025833,0.084861
0.025917,-0.014092
0.026,-0.10173
0.026083,-0.052445
0.026167,0.063521
0.02625,0.080597
0.026333,-0.024612
0.026417,-0.10298
0.0265,-0.041871
0.026583,0.0706
0.026667,0.074727
0.02675,-0.032839
0.026833,-0.10053
0.026917,-0.031736
0.027,0.075213
0.027083,0.068139
0.027167,-0.041544
0.02725,-0.098952
0.027333,-0.02174
0.027417,0.079675
0.0275,0.06116
0.027583,-0.049473
0.027667,-0.095244
0.02775,-0.010117
0.027833,0.084312
0.027917,0.053667
0.028,-0.058005
0.028083,-0.092406
0.028167,9.11E-05
0.02825,0.087202
0.028333,0.044845
0.028417,-0.066478
0.0285,-0.089033
0.028583,0.0091259
0.028667,0.088029
0.02875,0.035661
0.028833,-0.073729
0.028917,-0.084376
0.029,0.018022
0.029083,0.086618
0.029167,0.025653
0.02925,-0.078682
0.029333,-0.078993
0.029417,0.024912
0.0295,0.084323
0.029583,0.016695
0.029667,-0.081526
0.02975,-0.071093
0.029833,0.033436
0.029917,0.083557
0.03,0.010087
0.030083,-0.082675
0.030167,-0.062576
0.03025,0.04234
0.030333,0.082911
0.030417,0.0039514
0.0305,-0.082788
0.030583,-0.054334
0.030667,0.050232
0.03075,0.083104
0.030833,-0.00086036
0.030917,-0.083052
0.031,-0.046373
0.031083,0.057671
0.031167,0.081487
0.03125,-0.0076057
0.031333,-0.084452
0.031417,-0.039417
0.0315,0.064169
0.031583,0.07915
0.031667,-0.014695
0.03175,-0.085117
0.031833,-0.031824
0.031917,0.069072
0.032,0.074884
0.032083,-0.021199
0.032167,-0.084822
0.03225,-0.024863
0.032333,0.074074
0.032417,0.071274
0.0325,-0.028024
0.032583,-0.0835
0.032667,-0.016872
0.03275,0.07598
0.032833,0.064278
0.032917,-0.034666
0.033,-0.082705
0.033083,-0.010938
0.033167,0.078532
0.03325,0.058536
0.033333,-0.043195
0.033417,-0.083495
0.0335,-0.004192
0.033583,0.080699
0.033667,0.05117
0.03375,-0.051767
0.033833,-0.084136
0.033917,0.0019882
0.034,0.083309
0.034083,0.043522
0.034167,-0.06146
0.03425,-0.083084
0.034333,0.010577
0.034417,0.085443
0.0345,0.034822
0.034583,-0.071128
0.034667,-0.082149
0.03475,0.019048
0.034833,0.087089
0.034917,0.025525
0.035,-0.078207
0.035083,-0.07655
0.035167,0.028685
0.03525,0.087377
0.035333,0.017413
0.035417,-0.082455
0.0355,-0.06941
0.035583,0.03915
0.035667,0.087918
0.03575,0.0084028
0.035833,-0.087008
0.035917,-0.061305
0.036,0.050107
0.036083,0.087932
0.036167,-0.0020512
0.03625,-0.093181
0.036333,-0.053456
0.036417,0.061099
0.0365,0.086648
0.036583,-0.012821
0.036667,-0.096511
0.03675,-0.041989
0.036833,0.073126
0.036917,0.082676
0.037,-0.026924
0.037083,-0.099794
0.037167,-0.029975
0.03725,0.081919
0.037333,0.074654
0.037417,-0.04099
0.0375,-0.099828
0.037583,-0.016257
0.037667,0.089618
0.03775,0.065984
0.037833,-0.053338
0.037917,-0.097213
0.038,-0.00089397
0.038083,0.097231
0.038167,0.056549
0.03825,-0.064794
0.038333,-0.09222
0.038417,0.014623
0.0385,0.10177
0.038583,0.045361
0.038667,-0.074616
0.03875,-0.086223
0.038833,0.028668
0.038917,0.10447
0.039,0.033413
0.039083,-0.082833
0.039167,-0.077344
0.03925,0.043209
0.039333,0.10538
0.039417,0.020609
0.0395,-0.08967
0.039583,-0.066577
0.039667,0.057085
0.03975,0.10389
0.039833,0.0084399
0.039917,-0.093212
0.04,-0.055118
0.040083,0.069365
0.040167,0.10215
0.04025,-0.0029353
0.040333,-0.095723
0.040417,-0.042804
0.0405,0.080206
0.040583,0.097659
0.040667,-0.014402
0.04075,-0.095558
0.040833,-0.029113
0.040917,0.089315
0.041,0.090928
0.041083,-0.026451
0.041167,-0.09576
0.04125,-0.017249
0.041333,0.095536
0.041417,0.081206
0.0415,-0.039611
0.041583,-0.094137
0.041667,-0.0040042
0.04175,0.10036
0.041833,0.071076
0.041917,-0.050414
0.042,-0.092435
0.042083,0.0058852
0.042167,0.10313
0.04225,0.060364
0.042333,-0.061668
0.042417,-0.089168
0.0425,0.017386
0.042583,0.10467
0.042667,0.049475
0.04275,-0.068921
0.042833,-0.082043
0.042917,0.029343
0.043,0.10589
0.043083,0.039608
0.043167,-0.075096
0.04325,-0.074885
0.043333,0.040316
0.043417,0.10517
0.0435,0.028554
0.043583,-0.080337
0.043667,-0.06713
0.04375,0.049229
0.043833,0.10124
0.043917,0.015568
0.044,-0.085234
0.044083,-0.058626
0.044167,0.057001
0.04425,0.097011
0.044333,0.0059031
0.044417,-0.086917
0.0445,-0.050482
0.044583,0.062364
0.044667,0.090979
0.04475,-0.0037945
0.044833,-0.088401
0.044917,-0.043604
0.045,0.066491
0.045083,0.085195
0.045167,-0.012076
0.04525,-0.087837
0.045333,-0.036042
0.045417,0.069055
0.0455,0.07872
0.045583,-0.018909
0.045667,-0.086848
0.04575,-0.029946
0.045833,0.070937
0.045917,0.072036
0.046,-0.027495
0.046083,-0.086813
0.046167,-0.022122
0.04625,0.074265
0.046333,0.06515
0.046417,-0.036499
0.0465,-0.087373
0.046583,-0.014803
0.046667,0.077997
0.04675,0.057901
0.046833,-0.04752
0.046917,-0.088405
0.047,-0.0060537
0.047083,0.080496
0.047167,0.047778
0.04725,-0.057332
0.047333,-0.085962
0.047417,0.0030441
0.0475,0.08171
0.047583,0.038421
0.047667,-0.065002
0.04775,-0.08264
0.047833,0.011327
0.047917,0.083155
0.048,0.031308
0.048083,-0.070667
0.048167,-0.077931
0.04825,0.02094
0.048333,0.085016
0.048417,0.023963
0.0485,-0.076077
0.048583,-0.072887
0.048667,0.030315
0.04875,0.08648
0.048833,0.016649
0.048917,-0.080759
0.049,-0.066732
0.049083,0.040335
0.049167,0.087105
0.04925,0.0078142
0.049333,-0.085434
0.049417,-0.060036
0.0495,0.048922
0.049583,0.084922
0.049667,-0.0028569
0.04975,-0.089461
0.049833,-0.05153
0.049917,0.057668
0.05,0.082363
0.050083,-0.011605
0.050167,-0.09031
0.05025,-0.04079
0.050333,0.06688
0.050417,0.078824
0.0505,-0.021203
0.050583,-0.091339
0.050667,-0.030995
0.05075,0.073359
0.050833,0.072086
0.050917,-0.031336
0.051,-0.08988
0.051083,-0.020041
0.051167,0.078744
0.05125,0.06565
0.051333,-0.040632
0.051417,-0.089229
0.0515,-0.0091909
0.051583,0.085069
0.051667,0.058488
0.05175,-0.051003
0.051833,-0.087425
0.051917,0.0031982
0.052,0.090345
0.052083,0.048239
0.052167,-0.062126
0.05225,-0.083217
0.052333,0.014721
0.052417,0.091094
0.0525,0.037827
0.052583,-0.069603
0.052667,-0.078899
0.05275,0.023841
0.052833,0.09078
0.052917,0.026398
0.053,-0.077235
0.053083,-0.072265
0.053167,0.03421
0.05325,0.089784
0.053333,0.016468
0.053417,-0.081647
0.0535,-0.064606
0.053583,0.043954
0.053667,0.088791
0.05375,0.0061627
0.053833,-0.087198
0.053917,-0.05696
0.054,0.054257
0.054083,0.086887
0.054167,-0.0046108
0.05425,-0.090283
0.054333,-0.046818
0.054417,0.06394
0.0545,0.082627
0.054583,-0.016433
0.054667,-0.092303
0.05475,-0.036617
0.054833,0.070978
0.054917,0.076277
0.055,-0.027421
0.055083,-0.092216
0.055167,-0.026286
0.05525,0.074911
0.055333,0.067535
0.055417,-0.03671
0.0555,-0.089928
0.055583,-0.016059
0.055667,0.078684
0.05575,0.058821
0.055833,-0.046733
0.055917,-0.087807
0.056,-0.0056378
0.056083,0.08118
0.056167,0.047805
0.05625,-0.056881
0.056333,-0.082805
0.056417,0.0057287
0.0565,0.081714
0.056583,0.03842
0.056667,-0.062482
0.05675,-0.077291
0.056833,0.015564
0.056917,0.082522
0.057,0.027875
0.057083,-0.070927
0.057167,-0.07354
0.05725,0.023239
0.057333,0.080467
0.057417,0.016891
0.0575,-0.077439
0.057583,-0.068686
0.057667,0.030104
0.05775,0.076995
0.057833,0.0054669
0.057917,-0.083105
0.058,-0.063406
0.058083,0.036841
0.058167,0.074907
0.05825,-0.0040858
0.058333,-0.08852
0.058417,-0.057584
0.0585,0.045156
0.058583,0.072781
0.058667,-0.013952
0.05875,-0.091275
0.058833,-0.048021
0.058917,0.055176
0.059,0.071278
0.059083,-0.022337
0.059167,-0.092556
0.05925,-0.038632
0.059333,0.06306
0.059417,0.066544
0.0595,-0.032731
0.059583,-0.093617
0.059667,-0.030245
0.05975,0.067274
0.059833,0.060649
0.059917,-0.040645
0.06,-0.09339
0.060083,-0.02191
0.060167,0.071486
0.06025,0.053267
0.060333,-0.049448
0.060417,-0.09099
0.0605,-0.011902
0.060583,0.075396
0.060667,0.047367
0.06075,-0.054705
0.060833,-0.085768
0.060917,4.47E-05
0.061,0.080523
0.061083,0.040396
0.061167,-0.062001
0.06125,-0.080937
0.061333,0.011526
0.061417,0.083671
0.0615,0.031904
0.061583,-0.069572
0.061667,-0.076252
0.06175,0.02226
0.061833,0.085515
0.061917,0.022079
0.062,-0.07683
0.062083,-0.068889
0.062167,0.034443
0.06225,0.085194
0.062333,0.011086
0.062417,-0.081591
0.0625,-0.060026
0.062583,0.045234
0.062667,0.083776
0.06275,0.00048575
0.062833,-0.085248
0.062917,-0.049775
0.063,0.057068
0.063083,0.082314
0.063167,-0.010507
0.06325,-0.088197
0.063333,-0.03904
0.063417,0.066747
0.0635,0.077726
0.063583,-0.022104
0.063667,-0.089425
0.06375,-0.026745
0.063833,0.077186
0.063917,0.074273
0.064,-0.031684
0.064083,-0.088872
0.064167,-0.01408
0.06425,0.08626
0.064333,0.068459
0.064417,-0.04177
0.0645,-0.086034
0.064583,-0.0010036
0.064667,0.091474
0.06475,0.059739
0.064833,-0.050547
0.064917,-0.081545
0.065,0.011428
0.065083,0.095387
0.065167,0.050746
0.06525,-0.057531
0.065333,-0.074336
0.065417,0.023866
0.0655,0.096489
0.065583,0.039561
0.065667,-0.065037
0.06575,-0.067326
0.065833,0.035175
0.065917,0.095606
0.066,0.027555
0.066083,-0.071263
0.066167,-0.059284
0.06625,0.045061
0.066333,0.092129
0.066417,0.014571
0.0665,-0.077066
0.066583,-0.052004
0.066667,0.052601
0.06675,0.087206
0.066833,0.0030647
0.066917,-0.079833
0.067,-0.043243
0.067083,0.059498
0.067167,0.081283
0.06725,-0.0082193
0.067333,-0.080973
0.067417,-0.034157
0.0675,0.06406
0.067583,0.073836
0.067667,-0.018664
0.06775,-0.081448
0.067833,-0.025427
0.067917,0.068307
0.068,0.065687
0.068083,-0.030621
0.068167,-0.083011
0.06825,-0.017247
0.068333,0.071075
0.068417,0.056305
0.0685,-0.040657
0.068583,-0.081357
0.068667,-0.0080494
0.06875,0.074253
0.068833,0.049142
0.068917,-0.047976
0.069,-0.078536
0.069083,0.0010983
0.069167,0.077149
0.06925,0.041673
0.069333,-0.054641
0.069417,-0.073625
0.0695,0.011656
0.069583,0.079793
0.069667,0.035163
0.06975,-0.058284
0.069833,-0.067318
0.069917,0.019975
0.07,0.079107
0.070083,0.027441
0.070167,-0.061153
0.07025,-0.060375
0.070333,0.028071
0.070417,0.07793
0.0705,0.019701
0.070583,-0.063494
0.070667,-0.054053
0.07075,0.033657
0.070833,0.074513
0.070917,0.010531
0.071,-0.067395
0.071083,-0.048125
0.071167,0.04
0.07125,0.071314
0.071333,0.0030544
0.071417,-0.067127
0.0715,-0.040331
0.071583,0.04473
0.071667,0.067094
0.07175,-0.0052788
0.071833,-0.069279
0.071917,-0.033177
0.072,0.051335
0.072083,0.063786
0.072167,-0.012603
0.07225,-0.068452
0.072333,-0.02481
0.072417,0.055418
0.0725,0.058553
0.072583,-0.019122
0.072667,-0.067621
0.07275,-0.018248
0.072833,0.059026
0.072917,0.053862
0.073,-0.026769
0.073083,-0.068076
0.073167,-0.011227
0.07325,0.06247
0.073333,0.046667
0.073417,-0.03642
0.0735,-0.067744
0.073583,-0.0037964
0.073667,0.064275
0.07375,0.040841
0.073833,-0.040555
0.073917,-0.063621
0.074,0.004752
0.074083,0.067335
0.074167,0.035076
0.07425,-0.046376
0.074333,-0.060187
0.074417,0.014156
