R [m]	PL [20Hz]	PL [63Hz]	PL [200 Hz]	PL [20Hz]	PL [63Hz]	PL [200 Hz]
142000	-57.3	-58.31044346	-56.83799854	-55.06570994	-54.35556137	-54.30021157
143000	-57.3	-58.35311346	-56.8820121	-55.09790134	-54.38663734	-54.33090141
146000	-57.4	-58.47961643	-57.01248423	-55.19320592	-54.4786023	-54.42170829
147000	-57.5	-58.52129212	-57.05546251	-55.22456051	-54.50884589	-54.45156596
149000	-57.5	-58.60392357	-57.14066851	-55.28666595	-54.56873266	-54.51068103
150000	-57.6	-58.64488516	-57.18290209	-55.31742217	-54.5983812	-54.5399438
153000	-57.7	-58.76638712	-57.30815902	-55.40853588	-54.68617844	-54.62658403
154000	-57.7	-58.8064359	-57.34943918	-55.43853046	-54.71506973	-54.65508976
157000	-57.8	-58.92526334	-57.47190019	-55.52741792	-54.80065386	-54.73951749
158000	-57.8	-58.96444128	-57.51226919	-55.55668934	-54.82882636	-54.76730463
160000	-57.9	-59.04216501	-57.59234496	-55.61470902	-54.88465144	-54.82235914
161000	-57.9	-59.08071556	-57.63205652	-55.6434616	-54.91230835	-54.84963084
165000	-58.1	-59.23289569	-57.78878127	-55.75680543	-55.02128034	-54.9570625
168000	-58.2	-59.34496903	-57.90415929	-55.84011923	-55.10132657	-55.03595402
169000	-58.2	-59.38194533	-57.94221753	-55.867578	-55.1276983	-55.06194095
172000	-58.3	-59.49175804	-58.0552175	-55.94904227	-55.20590787	-55.13899641
173000	-58.3	-59.52799669	-58.09249916	-55.97589885	-55.23168169	-55.16438564
176000	-58.4	-59.63564227	-58.20321592	-56.05559783	-55.30813877	-55.23968924
177000	-58.5	-59.67117342	-58.23975161	-56.08187935	-55.33334178	-55.26450785
179000	-58.5	-59.74172029	-58.31227897	-56.1340247	-55.3833333	-55.31373074
180000	-58.6	-59.77673946	-58.34827415	-56.15989162	-55.40812489	-55.33813809
183000	-58.6	-59.88080004	-58.4552062	-56.23668732	-55.48170092	-55.41056171
184000	-58.7	-59.91516003	-58.49050461	-56.26202238	-55.50596487	-55.43444161
186000	-58.7	-59.98339925	-58.56059274	-56.31230572	-55.55410912	-55.48181795
187000	-58.8	-60.01728157	-58.59538563	-56.33725675	-55.57799218	-55.50531712
190000	-58.9	-60.11799747	-58.69877807	-56.41136327	-55.64890107	-55.57507466
191000	-58.9	-60.15126397	-58.73291848	-56.43582093	-55.67229493	-55.59808484
194000	-59.0	-60.25016703	-58.83438897	-56.50847794	-55.74176679	-55.66640597
195000	-59.0	-60.28284051	-58.86790029	-56.53246235	-55.76469156	-55.68894727
197000	-59.1	-60.34775428	-58.93446296	-56.58008643	-55.81019945	-55.73368836
198000	-59.1	-60.37999719	-58.96751702	-56.60372839	-55.83278487	-55.75589046
201000	-59.2	-60.47588545	-59.06578596	-56.67398751	-55.89988053	-55.82183645
202000	-59.2	-60.50757221	-59.09824882	-56.69718861	-55.92202919	-55.843602
204000	-59.3	-60.57053909	-59.16274193	-56.74326929	-55.96600809	-55.8868148
205000	-59.3	-60.60182159	-59.19477464	-56.76615095	-55.98784039	-55.90826414
208000	-59.4	-60.6948793	-59.29003183	-56.83417341	-56.05272087	-55.97199603
209000	-59.4	-60.72563906	-59.32150783	-56.85664334	-56.07414552	-55.99303791
212000	-59.5	-60.81715543	-59.41512269	-56.9234539	-56.1378263	-56.05557071
213000	-59.5	-60.84741017	-59.44606032	-56.94552745	-56.15885862	-56.07622047
215000	-59.6	-60.9075499	-59.50754115	-56.98938508	-56.20063679	-56.11723367
216000	-59.6	-60.93743694	-59.53808649	-57.01117092	-56.22138442	-56.1375989
220000	-59.7	-61.05578971	-59.65899168	-57.0973813	-56.30345199	-56.21813735
